Year,Military expenditure (percent of GDP),Country
1960,,Ethiopia
1961,1.855877617,Ethiopia
1962,1.932190329,Ethiopia
1963,2.428366762,Ethiopia
1964,2.921584479,Ethiopia
1965,3.229935251,Ethiopia
1966,3.107199084,Ethiopia
1967,2.48622497,Ethiopia
1968,2.195616369,Ethiopia
1969,2.020664553,Ethiopia
1970,1.883109803,Ethiopia
1971,1.906071504,Ethiopia
1972,1.936410256,Ethiopia
1973,1.925554082,Ethiopia
1974,2.794582393,Ethiopia
1975,4.492062115,Ethiopia
1976,4.131722525,Ethiopia
1977,3.967780853,Ethiopia
1978,4.810902452,Ethiopia
1979,6.886588009,Ethiopia
1980,8.708582133,Ethiopia
1981,7.536958032,Ethiopia
1982,7.539018428,Ethiopia
1983,7.179617834,Ethiopia
1984,7.969148162,Ethiopia
1985,6.823904199,Ethiopia
1986,6.697237569,Ethiopia
1987,6.855673685,Ethiopia
1988,8.50143611,Ethiopia
1989,10.27664846,Ethiopia
1990,9.657969809,Ethiopia
1991,5.705131545,Ethiopia
1992,3.441708349,Ethiopia
1993,3.071688351,Ethiopia
1994,2.868438702,Ethiopia
1995,2.225616054,Ethiopia
1996,2.117138489,Ethiopia
1997,3.343177478,Ethiopia
1998,7.276936149,Ethiopia
1999,9.506942683,Ethiopia
2000,7.613843906,Ethiopia
2001,4.349020778,Ethiopia
2002,3.719388099,Ethiopia
2003,3.238842734,Ethiopia
2004,3.072650407,Ethiopia
2005,2.761551436,Ethiopia
2006,2.266537384,Ethiopia
2007,1.86327402,Ethiopia
2008,1.489809217,Ethiopia
2009,1.184802596,Ethiopia
2010,1.133586485,Ethiopia
2011,1.090707444,Ethiopia
2012,0.86836209,Ethiopia
2013,0.806417117,Ethiopia
2014,0.768411101,Ethiopia
2015,0.705413868,Ethiopia
2016,0.695462177,Ethiopia
2017,0.666369217,Ethiopia
2018,0.639015251,Ethiopia
2019,0.601169492,Ethiopia
2020,,Ethiopia
